     laywind   0   0
          30
 end-of-data   0   0
 'START departure coefficients version 1.0'
        128 number of layers
         61 number of level
         100           1           1
         100           3           1
 6.7776D-04 1.0728D-01 1.2376D-01 1.3955D-01 1.5677D-01 1.7571D-01 1.9668D-01 2.1993D-01 2.4573D-01 2.7454D-01
 3.0672D-01 3.4247D-01 3.8182D-01 4.2481D-01 4.7117D-01 5.2058D-01 5.7228D-01 6.2590D-01 6.8042D-01 7.3467D-01
 7.8820D-01 8.3975D-01 8.8857D-01 9.3387D-01 9.7478D-01 1.0116D+00 1.0437D+00 1.0716D+00 1.0954D+00 1.1151D+00
 1.1318D+00 1.1445D+00 1.1548D+00 1.1631D+00 1.1695D+00 1.1741D+00 1.1761D+00 1.1779D+00 1.1792D+00 1.1802D+00
 1.1814D+00 1.1846D+00 1.1912D+00 1.2023D+00 1.2193D+00 1.2429D+00 1.2737D+00 1.3125D+00 1.3602D+00 1.4187D+00
 1.4901D+00 1.5772D+00 1.6818D+00 1.8034D+00 1.9102D+00 2.0177D+00 2.1174D+00 2.1983D+00 2.2478D+00 2.2495D+00
 2.1899D+00 2.0703D+00 1.9075D+00 1.7260D+00 1.5521D+00 1.4262D+00 1.3186D+00 1.2338D+00 1.1690D+00 1.1496D+00
 1.1329D+00 1.1179D+00 1.1042D+00 1.0915D+00 1.0797D+00 1.0686D+00 1.0583D+00 1.0488D+00 1.0402D+00 1.0325D+00
 1.0257D+00 1.0197D+00 1.0145D+00 1.0106D+00 1.0084D+00 1.0068D+00 1.0056D+00 1.0047D+00 1.0040D+00 1.0034D+00
 1.0029D+00 1.0026D+00 1.0022D+00 1.0020D+00 1.0018D+00 1.0017D+00 1.0018D+00 1.0022D+00 1.0019D+00 1.0028D+00
 1.0020D+00 1.0013D+00 1.0008D+00 1.0006D+00 1.0004D+00 1.0002D+00 1.0001D+00 1.0001D+00 1.0000D+00 1.0000D+00
 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00 1.0000D+00
         100           4           1
 7.7173D-03 2.0391D-01 2.3110D-01 2.5656D-01 2.8416D-01 3.1388D-01 3.4591D-01 3.8048D-01 4.1767D-01 4.5799D-01
 5.0171D-01 5.4894D-01 5.9961D-01 6.5351D-01 7.1033D-01 7.6962D-01 8.3067D-01 8.9298D-01 9.5570D-01 1.0178D+00
 1.0790D+00 1.1381D+00 1.1946D+00 1.2476D+00 1.2963D+00 1.3404D+00 1.3790D+00 1.4123D+00 1.4398D+00 1.4613D+00
